target_rps,throughput_rps,goodput_rps,duration_s,requests,success,failed,error_pct,all_p50_ms,all_p95_ms,success_p50_ms,success_p95_ms,success_p99_ms,success_max_ms
5,4.855244100315469,5.033559552442579,29.799985167,150,150,0,0.0,1080.486937,1157.557707,1080.084208,1157.557708,1431.905583,1653.430667
10,9.464667532906207,10.033457693442775,29.899961625,300,300,0,0.0,1471.273406,1993.935687,1481.033375,1989.305667,2068.160334,2108.447292
25,9.409734804819559,10.54739903705668,29.959992875,750,316,434,57.86666666666667,2.281447,4218.163583,3520.687292,4315.898917,4361.569375,4487.457458
50,9.592056072317707,10.807309538936893,29.979709458,1500,324,1176,78.4,1.273007,3734.575241,3534.649875,3981.741708,4068.239334,4141.870209
