target_rps,throughput_rps,goodput_rps,duration_s,requests,success,failed,error_pct,all_p50_ms,all_p95_ms,success_p50_ms,success_p95_ms,success_p99_ms,success_max_ms
5,4.856048426717874,5.033720037483345,29.799035084,150,150,0,0.0,1072.335531,1114.284291,1072.330667,1114.284291,1165.100042,1165.115584
10,9.682461600725667,10.033450171030028,29.899984042,300,300,0,0.0,1076.27327,1104.105625,1076.233041,1104.024542,1142.132916,1166.705458
25,9.522015485687792,10.747709888165659,29.959870833,750,322,428,57.06666666666666,2.255914,4151.440326,3396.278917,4177.930625,4213.614166,4295.951458
50,9.629935994498634,10.773845684065172,29.980009875,1500,323,1177,78.46666666666667,1.640785,3911.068753,3429.589292,4235.7365,4276.452625,4339.253375
