target_rps,throughput_rps,goodput_rps,duration_s,requests,success,failed,error_pct,all_p50_ms,all_p95_ms,success_p50_ms,success_p95_ms,success_p99_ms,success_max_ms
5,4.187996418771183,4.999995483728911,29.800026917,150,149,1,0.666666666666671,3857.733843,5777.844958,3848.5705,5777.844958,5896.427834,5967.704959
10,4.476333531323677,5.719064852119402,29.899993167,300,171,129,43.00000000000001,3245.182953,8238.870813,7471.787,8301.8805,8318.711959,8361.7785
25,4.464524059676791,5.640851860253019,29.960013875,750,169,581,77.46666666666667,1.62966,7895.788495,7745.903667,8768.878084,8896.906,8933.967708
50,4.497651579338171,5.003203502504807,29.980791292,1500,150,1350,90.0,1.305854,7612.491825,7727.872042,8804.233292,8913.955416,8947.498709
