target_rps,throughput_rps,goodput_rps,duration_s,requests,success,failed,error_pct,all_p50_ms,all_p95_ms,success_p50_ms,success_p95_ms,success_p99_ms,success_max_ms
5,0.9234403821160546,1.1744946342541494,29.800051,150,35,115,76.66666666666666,1.346468,8441.271207,7383.565625,8568.232916,8609.240458,8609.240458
10,0.8360618954960658,1.036788351303422,29.900027292,300,31,269,89.66666666666667,1.259369,8779.390999,8583.112583,9974.440458,9999.560375,9999.560375
25,0.9051338171917858,1.1014684057894273,29.960005958,750,33,717,95.6,1.412517,24.233436,6504.492208,6944.822458,6997.706667,6997.706667
50,0.9216191171200102,1.100759424604401,29.979302709,1500,33,1467,97.8,1.134514,2.230633,6445.683583,6482.766958,6643.153667,6643.153667
