target_rps,throughput_rps,goodput_rps,duration_s,requests,success,failed,error_pct,all_p50_ms,all_p95_ms,success_p50_ms,success_p95_ms,success_p99_ms,success_max_ms
5,2.568540401960483,3.1544489958878983,29.799182083,150,94,56,37.33333333333333,4049.562625,6480.079958,5580.903167,6537.364083,6925.573458,7197.513083
10,2.7521415669229583,3.5117048487994302,29.900007125,300,105,195,65.0,1.570296,8648.633312,8479.409292,8698.176667,8730.653166,8734.239208
25,2.48643430197411,3.270984675328086,29.960397167,750,98,652,86.93333333333332,1.350076,8704.447591,8651.119458,9579.464375,9960.630125,9981.414666
50,2.6502855006818904,3.0020504504918604,29.9795095,1500,90,1410,94.0,1.535993,4108.436193,4379.677083,6507.226334,7200.53725,7219.906791
