target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
5,2.614285195471384,29.80002,150,97,53,35.333333333333336,4061.282916,6626.534083,7246.817541,7303.8125
10,2.543801145663659,29.900712917,300,95,205,68.33333333333333,1.991578,9608.497833,9953.800708,10000.697458
25,2.7213486711623114,29.960140834,750,92,658,87.73333333333333,1.58776,4405.222703,5396.17863,5892.073958
50,2.73872955274269,29.980024292,1500,94,1406,93.73333333333333,1.557336,4147.882514,4447.276104,4512.890417
