target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
5,1.658242781111175,29.800011917,150,66,84,56.00000000000001,10000.106031,10001.170375,10001.193667,10001.199916
10,0.8520994238629993,29.900285625,300,34,266,88.66666666666667,10000.168354,10001.211062,10001.232666,10001.251166
25,0.5755601027167081,29.95991525,750,23,727,96.93333333333334,10000.185124,10001.196656,10001.250812,10008.869084
50,0.6252955726525352,29.979977042,1500,25,1475,98.33333333333333,10000.204193,10001.175233,10001.288534,10009.0275
